file, sw2, lvc_size, base_size, enhance_size, enhancement_ratio,psnr_avg
SOCCER_LCEVC_VVC_SW2-9000_QP24_2025-06-28_16-28-07.lvc, 9000, 631776,241037,390739,61.8477%,8.57
SOCCER_LCEVC_VVC_SW2-9100_QP24_2025-06-28_16-28-15.lvc, 9100, 631765,241037,390728,61.8470%,8.56
SOCCER_LCEVC_VVC_SW2-9200_QP24_2025-06-28_16-28-23.lvc, 9200, 609691,241037,368654,60.4657%,8.56
SOCCER_LCEVC_VVC_SW2-9300_QP24_2025-06-28_16-28-31.lvc, 9300, 587706,241037,346669,58.9868%,8.67
SOCCER_LCEVC_VVC_SW2-9400_QP24_2025-06-28_16-28-39.lvc, 9400, 600947,241037,359910,59.8905%,9.52
SOCCER_LCEVC_VVC_SW2-9500_QP24_2025-06-28_16-28-47.lvc, 9500, 601323,241037,360286,59.9156%,9.51
SOCCER_LCEVC_VVC_SW2-9600_QP24_2025-06-28_16-28-55.lvc, 9600, 270545,241037,29508,10.9069%,10.63
SOCCER_LCEVC_VVC_SW2-9700_QP24_2025-06-28_16-29-02.lvc, 9700, 267340,241037,26303,9.8388%,10.56
SOCCER_LCEVC_VVC_SW2-9800_QP24_2025-06-28_16-29-10.lvc, 9800, 267266,241037,26229,9.8138%,10.57
SOCCER_LCEVC_VVC_SW2-9900_QP24_2025-06-28_16-29-18.lvc, 9900, 267266,241037,26229,9.8138%,10.57
