file,sw2,qp,lvc_size,base_size,enhance_size,enhancement_ratio,psnr_avg,bitrate_kbps
vc-philips-03_120frames-Resample,0,0,1492992000,0,0,0%,48.50,0
vc-philips-03_120frames_LCEVC_AVC_SW2-750_QP22_2025-07-24_13-52-08.lvc,750,22,1592422,821804,770618,48.3928%,43.91,6369.69
vc-philips-03_120frames_LCEVC_AVC_SW2-750_QP27_2025-07-24_13-52-52.lvc,750,27,2566339,363049,2203290,85.8534%,42.26,10265.36
vc-philips-03_120frames_LCEVC_AVC_SW2-750_QP25_2025-07-24_13-52-20.lvc,750,25,2065732,495828,1569904,75.9975%,42.85,8262.93
vc-philips-03_120frames_LCEVC_AVC_SW2-1250_QP27_2025-07-24_13-55-26.lvc,1250,27,990664,363049,627615,63.3530%,41.28,3962.66
vc-philips-03_120frames_LCEVC_AVC_SW2-1250_QP22_2025-07-24_13-55-16.lvc,1250,22,1042446,821804,220642,21.1658%,43.72,4169.78
vc-philips-03_120frames_AVC-Only_QP37.264,264,37,261857,0,0,0%,38.35,1047.43
vc-philips-03_120frames_AVC-Only_QP35.264,264,35,348522,0,0,0%,39.53,1394.09
vc-philips-03_120frames_LCEVC_AVC_SW2-1250_QP25_2025-07-24_13-55-29.lvc,1250,25,931027,495828,435199,46.7440%,42.24,3724.11
vc-philips-03_120frames_AVC-Only_QP32.264,264,32,543963,0,0,0%,41.49,2175.85
vc-philips-03_120frames_AVC-Only_QP30.264,264,30,736459,0,0,0%,42.82,2945.84
vc-philips-03_120frames_AVC-Only_QP27.264,264,27,1161656,0,0,0%,44.72,4646.62
vc-philips-03_120frames_LCEVC_AVC_SW2-1750_QP27_2025-07-24_13-58-00.lvc,1750,27,876195,363049,513146,58.5653%,41.18,3504.78
vc-philips-03_120frames_AVC-Only_QP25.264,264,25,1593342,0,0,0%,45.90,6373.37
vc-philips-03_120frames_LCEVC_AVC_SW2-750_QP30_2025-07-24_13-58-45.lvc,750,30,3498047,227291,3270756,93.5023%,41.55,13992.19
vc-philips-03_120frames_LCEVC_AVC_SW2-1750_QP22_2025-07-24_13-58-26.lvc,1750,22,1038632,821804,216828,20.8763%,43.72,4154.53
vc-philips-03_120frames_LCEVC_AVC_SW2-1750_QP25_2025-07-24_13-58-46.lvc,1750,25,884769,495828,388941,43.9596%,42.21,3539.08
vc-philips-03_120frames_AVC-Only_QP22.264,264,22,2633079,0,0,0%,47.59,10532.32
vc-philips-03_120frames_LCEVC_AVC_SW2-750_QP37_2025-07-24_14-00-20.lvc,750,37,5716926,82563,5634363,98.5558%,40.15,22867.70
vc-philips-03_120frames_LCEVC_AVC_SW2-2250_QP27_2025-07-24_14-00-34.lvc,2250,27,844414,363049,481365,57.0058%,41.18,3377.66
vc-philips-03_120frames_LCEVC_AVC_SW2-750_QP35_2025-07-24_14-00-40.lvc,750,35,5181337,107804,5073533,97.9194%,40.55,20725.35
vc-philips-03_120frames_LCEVC_AVC_SW2-750_QP32_2025-07-24_14-00-55.lvc,750,32,4213286,167048,4046238,96.0352%,41.11,16853.14
