file, sw2, lvc_size, base_size, enhance_size, enhancement_ratio,psnr_avg
Bosphorus_LCEVC_AVC_SW2-4000_QP22_2025-06-20_14-22-58.lvc, 4000, 3025153,2994814,30339,1.0029%,41.98
Bosphorus_LCEVC_AVC_SW2-3950_QP22_2025-06-20_15-03-44.lvc, 3950, 3025153,2994814,30339,1.0029%,41.98
Bosphorus_LCEVC_AVC_SW2-3900_QP22_2025-06-20_15-08-03.lvc, 3900, 3025197,2994814,30383,1.0043%,41.98
Bosphorus_LCEVC_AVC_SW2-3850_QP22_2025-06-20_15-12-21.lvc, 3850, 3025332,2994814,30518,1.0087%,41.98
Bosphorus_LCEVC_AVC_SW2-3800_QP22_2025-06-20_15-16-33.lvc, 3800, 3025454,2994814,30640,1.0127%,41.98
Bosphorus_LCEVC_AVC_SW2-3750_QP22_2025-06-20_15-20-52.lvc, 3750, 3025526,2994814,30712,1.0151%,41.98
Bosphorus_LCEVC_AVC_SW2-3700_QP22_2025-06-20_15-25-08.lvc, 3700, 3025699,2994814,30885,1.0208%,41.98
Bosphorus_LCEVC_AVC_SW2-3650_QP22_2025-06-20_15-29-23.lvc, 3650, 3025906,2994814,31092,1.0275%,41.98
Bosphorus_LCEVC_AVC_SW2-3600_QP22_2025-06-20_15-33-41.lvc, 3600, 3026123,2994814,31309,1.0346%,41.98
Bosphorus_LCEVC_AVC_SW2-3550_QP22_2025-06-20_15-37-59.lvc, 3550, 3026520,2994814,31706,1.0476%,41.98
Bosphorus_LCEVC_AVC_SW2-3500_QP22_2025-06-20_15-42-17.lvc, 3500, 3026859,2994814,32045,1.0587%,41.98
Bosphorus_LCEVC_AVC_SW2-3450_QP22_2025-06-20_15-46-34.lvc, 3450, 3027506,2994814,32692,1.0798%,41.98
Bosphorus_LCEVC_AVC_SW2-3400_QP22_2025-06-20_15-50-51.lvc, 3400, 3028002,2994814,33188,1.0960%,41.98
Bosphorus_LCEVC_AVC_SW2-3350_QP22_2025-06-20_15-55-09.lvc, 3350, 3028761,2994814,33947,1.1208%,41.98
Bosphorus_LCEVC_AVC_SW2-3300_QP22_2025-06-20_15-59-26.lvc, 3300, 3029990,2994814,35176,1.1609%,41.98
Bosphorus_LCEVC_AVC_SW2-3250_QP22_2025-06-20_16-03-50.lvc, 3250, 3031413,2994814,36599,1.2073%,41.98
Bosphorus_LCEVC_AVC_SW2-3200_QP22_2025-06-20_16-08-08.lvc, 3200, 3033370,2994814,38556,1.2711%,41.98
Bosphorus_LCEVC_AVC_SW2-3150_QP22_2025-06-20_16-12-26.lvc, 3150, 3034970,2994814,40156,1.3231%,41.98
Bosphorus_LCEVC_AVC_SW2-3100_QP22_2025-06-20_16-16-44.lvc, 3100, 3037620,2994814,42806,1.4092%,41.98
Bosphorus_LCEVC_AVC_SW2-3050_QP22_2025-06-20_16-21-01.lvc, 3050, 3040629,2994814,45815,1.5068%,41.98
Bosphorus_LCEVC_AVC_SW2-3000_QP22_2025-06-20_16-25-17.lvc, 3000, 3044661,2994814,49847,1.6372%,41.98
Bosphorus_LCEVC_AVC_SW2-2950_QP22_2025-06-20_16-29-33.lvc, 2950, 3049752,2994814,54938,1.8014%,41.98
Bosphorus_LCEVC_AVC_SW2-2900_QP22_2025-06-20_16-33-50.lvc, 2900, 3055441,2994814,60627,1.9842%,41.98
Bosphorus_LCEVC_AVC_SW2-2850_QP22_2025-06-20_16-38-05.lvc, 2850, 3062316,2994814,67502,2.2043%,41.99
Bosphorus_LCEVC_AVC_SW2-2800_QP22_2025-06-20_16-42-23.lvc, 2800, 3071645,2994814,76831,2.5013%,41.99
Bosphorus_LCEVC_AVC_SW2-2750_QP22_2025-06-20_16-46-41.lvc, 2750, 3083003,2994814,88189,2.8605%,41.99
Bosphorus_LCEVC_AVC_SW2-2700_QP22_2025-06-20_16-50-58.lvc, 2700, 3097171,2994814,102357,3.3049%,41.99
Bosphorus_LCEVC_AVC_SW2-2650_QP22_2025-06-20_16-55-16.lvc, 2650, 3115471,2994814,120657,3.8728%,41.99
Bosphorus_LCEVC_AVC_SW2-2600_QP22_2025-06-20_16-59-35.lvc, 2600, 3141505,2994814,146691,4.6694%,42.00
Bosphorus_LCEVC_AVC_SW2-2550_QP22_2025-06-20_17-03-54.lvc, 2550, 3170375,2994814,175561,5.5375%,42.00
Bosphorus_LCEVC_AVC_SW2-2500_QP22_2025-06-20_17-08-12.lvc, 2500, 3203672,2994814,208858,6.5193%,42.00
Bosphorus_LCEVC_AVC_SW2-2450_QP22_2025-06-20_17-12-30.lvc, 2450, 3246642,2994814,251828,7.7566%,42.01
Bosphorus_LCEVC_AVC_SW2-2400_QP22_2025-06-20_17-16-45.lvc, 2400, 3296757,2994814,301943,9.1588%,42.01
Bosphorus_LCEVC_AVC_SW2-2350_QP22_2025-06-20_17-21-02.lvc, 2350, 3359885,2994814,365071,10.8656%,42.01
Bosphorus_LCEVC_AVC_SW2-2300_QP22_2025-06-20_17-25-18.lvc, 2300, 3438709,2994814,443895,12.9088%,42.02
Bosphorus_LCEVC_AVC_SW2-2250_QP22_2025-06-20_17-29-47.lvc, 2250, 3531521,2994814,536707,15.1976%,42.03
Bosphorus_LCEVC_AVC_SW2-2200_QP22_2025-06-20_17-34-04.lvc, 2200, 3647468,2994814,652654,17.8933%,42.04
Bosphorus_LCEVC_AVC_SW2-2150_QP22_2025-06-20_17-38-22.lvc, 2150, 3772299,2994814,777485,20.6104%,42.05
Bosphorus_LCEVC_AVC_SW2-2100_QP22_2025-06-20_17-42-37.lvc, 2100, 3944276,2994814,949462,24.0719%,42.06
Bosphorus_LCEVC_AVC_SW2-2050_QP22_2025-06-20_17-46-55.lvc, 2050, 4120582,2994814,1125768,27.3206%,42.08
