file, sw2, lvc_size, base_size, enhance_size, enhancement_ratio,psnr_avg
Bosphorus_LCEVC_AVC_SW2-4000_QP20_2025-06-20_17-54-16.lvc, 4000, 4216907,4186583,30324,0.7191%,42.78
Bosphorus_LCEVC_AVC_SW2-3900_QP20_2025-06-20_18-35-49.lvc, 3900, 4216964,4186583,30381,0.7204%,42.78
Bosphorus_LCEVC_AVC_SW2-3800_QP20_2025-06-20_18-40-08.lvc, 3800, 4217227,4186583,30644,0.7266%,42.78
Bosphorus_LCEVC_AVC_SW2-3700_QP20_2025-06-20_18-44-20.lvc, 3700, 4217412,4186583,30829,0.7310%,42.78
Bosphorus_LCEVC_AVC_SW2-3600_QP20_2025-06-20_18-48-38.lvc, 3600, 4217781,4186583,31198,0.7397%,42.78
Bosphorus_LCEVC_AVC_SW2-3500_QP20_2025-06-20_18-52-50.lvc, 3500, 4218474,4186583,31891,0.7560%,42.78
Bosphorus_LCEVC_AVC_SW2-3400_QP20_2025-06-20_18-57-05.lvc, 3400, 4219544,4186583,32961,0.7812%,42.78
Bosphorus_LCEVC_AVC_SW2-3300_QP20_2025-06-20_19-01-24.lvc, 3300, 4221157,4186583,34574,0.8191%,42.79
Bosphorus_LCEVC_AVC_SW2-3200_QP20_2025-06-20_19-05-42.lvc, 3200, 4224063,4186583,37480,0.8873%,42.79
Bosphorus_LCEVC_AVC_SW2-3100_QP20_2025-06-20_19-10-02.lvc, 3100, 4227890,4186583,41307,0.9770%,42.79
Bosphorus_LCEVC_AVC_SW2-3000_QP20_2025-06-20_19-14-19.lvc, 3000, 4233453,4186583,46870,1.1071%,42.79
Bosphorus_LCEVC_AVC_SW2-2900_QP20_2025-06-20_19-18-38.lvc, 2900, 4242125,4186583,55542,1.3093%,42.79
Bosphorus_LCEVC_AVC_SW2-2800_QP20_2025-06-20_19-22-57.lvc, 2800, 4254127,4186583,67544,1.5877%,42.80
Bosphorus_LCEVC_AVC_SW2-2700_QP20_2025-06-20_19-27-15.lvc, 2700, 4270680,4186583,84097,1.9692%,42.80
Bosphorus_LCEVC_AVC_SW2-2600_QP20_2025-06-20_19-31-34.lvc, 2600, 4298200,4186583,111617,2.5968%,42.81
Bosphorus_LCEVC_AVC_SW2-2500_QP20_2025-06-20_19-35-52.lvc, 2500, 4337906,4186583,151323,3.4884%,42.81
Bosphorus_LCEVC_AVC_SW2-2400_QP20_2025-06-20_19-40-09.lvc, 2400, 4396354,4186583,209771,4.7715%,42.82
Bosphorus_LCEVC_AVC_SW2-2300_QP20_2025-06-20_19-44-28.lvc, 2300, 4485058,4186583,298475,6.6549%,42.83
Bosphorus_LCEVC_AVC_SW2-2200_QP20_2025-06-20_19-48-54.lvc, 2200, 4621511,4186583,434928,9.4109%,42.84
Bosphorus_LCEVC_AVC_SW2-2100_QP20_2025-06-20_19-53-13.lvc, 2100, 4825221,4186583,638638,13.2354%,42.86
Bosphorus_LCEVC_AVC_SW2-2000_QP20_2025-06-20_19-57-31.lvc, 2000, 5109283,4186583,922700,18.0593%,42.88
Bosphorus_LCEVC_AVC_SW2-1900_QP20_2025-06-20_20-01-47.lvc, 1900, 5513984,4186583,1327401,24.0734%,42.91
Bosphorus_LCEVC_AVC_SW2-1800_QP20_2025-06-20_20-06-05.lvc, 1800, 6134248,4186583,1947665,31.7507%,42.96
