file, sw2, lvc_size, base_size, enhance_size, enhancement_ratio,psnr_avg
Bosphorus_LCEVC_VVC_SW2-5000_QP22_2025-06-24_01-29-33.lvc, 5000, 2261517,2231327,30190,1.3349%,40.98
Bosphorus_LCEVC_VVC_SW2-4900_QP22_2025-06-24_01-34-08.lvc, 4900, 2261517,2231327,30190,1.3349%,40.98
Bosphorus_LCEVC_VVC_SW2-4800_QP22_2025-06-24_01-38-42.lvc, 4800, 2261517,2231327,30190,1.3349%,40.98
Bosphorus_LCEVC_VVC_SW2-4700_QP22_2025-06-24_01-43-16.lvc, 4700, 2261517,2231327,30190,1.3349%,40.98
Bosphorus_LCEVC_VVC_SW2-4600_QP22_2025-06-24_01-47-51.lvc, 4600, 2261517,2231327,30190,1.3349%,40.98
Bosphorus_LCEVC_VVC_SW2-4500_QP22_2025-06-24_01-52-26.lvc, 4500, 2261517,2231327,30190,1.3349%,40.98
Bosphorus_LCEVC_VVC_SW2-4400_QP22_2025-06-24_01-57-00.lvc, 4400, 2261517,2231327,30190,1.3349%,40.98
Bosphorus_LCEVC_VVC_SW2-4300_QP22_2025-06-24_02-01-34.lvc, 4300, 2261517,2231327,30190,1.3349%,40.98
Bosphorus_LCEVC_VVC_SW2-4200_QP22_2025-06-24_02-06-08.lvc, 4200, 2261517,2231327,30190,1.3349%,40.98
Bosphorus_LCEVC_VVC_SW2-4100_QP22_2025-06-24_02-10-42.lvc, 4100, 2261517,2231327,30190,1.3349%,40.98
Bosphorus_LCEVC_VVC_SW2-4000_QP22_2025-06-24_02-15-16.lvc, 4000, 2261517,2231327,30190,1.3349%,40.98
Bosphorus_LCEVC_VVC_SW2-3900_QP22_2025-06-24_02-19-50.lvc, 3900, 2261517,2231327,30190,1.3349%,40.98
Bosphorus_LCEVC_VVC_SW2-3800_QP22_2025-06-24_02-24-25.lvc, 3800, 2261517,2231327,30190,1.3349%,40.98
Bosphorus_LCEVC_VVC_SW2-3700_QP22_2025-06-24_02-28-59.lvc, 3700, 2261517,2231327,30190,1.3349%,40.98
Bosphorus_LCEVC_VVC_SW2-3600_QP22_2025-06-24_02-33-33.lvc, 3600, 2261517,2231327,30190,1.3349%,40.98
Bosphorus_LCEVC_VVC_SW2-3500_QP22_2025-06-24_02-38-07.lvc, 3500, 2261517,2231327,30190,1.3349%,40.98
Bosphorus_LCEVC_VVC_SW2-3400_QP22_2025-06-24_02-42-42.lvc, 3400, 2261545,2231327,30218,1.3362%,40.98
Bosphorus_LCEVC_VVC_SW2-3300_QP22_2025-06-24_02-47-17.lvc, 3300, 2261583,2231327,30256,1.3378%,40.98
Bosphorus_LCEVC_VVC_SW2-3200_QP22_2025-06-24_02-51-52.lvc, 3200, 2261664,2231327,30337,1.3414%,40.98
Bosphorus_LCEVC_VVC_SW2-3100_QP22_2025-06-24_02-56-25.lvc, 3100, 2261817,2231327,30490,1.3480%,40.98
Bosphorus_LCEVC_VVC_SW2-3000_QP22_2025-06-24_03-00-59.lvc, 3000, 2262107,2231327,30780,1.3607%,40.98
Bosphorus_LCEVC_VVC_SW2-2900_QP22_2025-06-24_03-05-34.lvc, 2900, 2262666,2231327,31339,1.3850%,40.98
Bosphorus_LCEVC_VVC_SW2-2800_QP22_2025-06-24_03-10-09.lvc, 2800, 2263935,2231327,32608,1.4403%,40.98
Bosphorus_LCEVC_VVC_SW2-2700_QP22_2025-06-24_03-14-44.lvc, 2700, 2265847,2231327,34520,1.5235%,40.99
Bosphorus_LCEVC_VVC_SW2-2600_QP22_2025-06-24_03-19-17.lvc, 2600, 2269674,2231327,38347,1.6895%,40.99
Bosphorus_LCEVC_VVC_SW2-2500_QP22_2025-06-24_03-23-52.lvc, 2500, 2276189,2231327,44862,1.9709%,40.99
Bosphorus_LCEVC_VVC_SW2-2400_QP22_2025-06-24_03-28-28.lvc, 2400, 2288570,2231327,57243,2.5013%,41.00
Bosphorus_LCEVC_VVC_SW2-2300_QP22_2025-06-24_03-33-03.lvc, 2300, 2308638,2231327,77311,3.3488%,41.01
Bosphorus_LCEVC_VVC_SW2-2200_QP22_2025-06-24_03-37-37.lvc, 2200, 2342713,2231327,111386,4.7546%,41.04
Bosphorus_LCEVC_VVC_SW2-2100_QP22_2025-06-24_03-42-12.lvc, 2100, 2404713,2231327,173386,7.2103%,41.09
Bosphorus_LCEVC_VVC_SW2-2000_QP22_2025-06-24_03-46-47.lvc, 2000, 2495266,2231327,263939,10.5776%,41.15
Bosphorus_LCEVC_VVC_SW2-1900_QP22_2025-06-24_03-51-21.lvc, 1900, 2639465,2231327,408138,15.4629%,41.25
Bosphorus_LCEVC_VVC_SW2-1800_QP22_2025-06-24_03-55-57.lvc, 1800, 2858045,2231327,626718,21.9282%,41.36
Bosphorus_LCEVC_VVC_SW2-1700_QP22_2025-06-24_04-00-32.lvc, 1700, 3185598,2231327,954271,29.9558%,41.52
