file, sw2, lvc_size, base_size, enhance_size, enhancement_ratio,psnr_avg
SOCCER_LCEVC_AVC_SW2-4500_QP24_2025-06-28_15-22-24.lvc, 4500, 338362,323042,15320,4.5277%,33.28
SOCCER_LCEVC_AVC_SW2-4600_QP24_2025-06-28_15-22-31.lvc, 4600, 338312,323042,15270,4.5136%,33.26
SOCCER_LCEVC_AVC_SW2-4700_QP24_2025-06-28_15-22-38.lvc, 4700, 338284,323042,15242,4.5057%,33.24
SOCCER_LCEVC_AVC_SW2-4800_QP24_2025-06-28_15-22-45.lvc, 4800, 338256,323042,15214,4.4978%,33.21
SOCCER_LCEVC_AVC_SW2-4900_QP24_2025-06-28_15-22-52.lvc, 4900, 338225,323042,15183,4.4890%,33.21
SOCCER_LCEVC_AVC_SW2-5000_QP24_2025-06-28_15-22-59.lvc, 5000, 338205,323042,15163,4.4834%,33.19
SOCCER_LCEVC_AVC_SW2-5100_QP24_2025-06-28_15-23-06.lvc, 5100, 338194,323042,15152,4.4803%,33.19
SOCCER_LCEVC_AVC_SW2-5200_QP24_2025-06-28_15-23-13.lvc, 5200, 338183,323042,15141,4.4772%,33.19
SOCCER_LCEVC_AVC_SW2-5300_QP24_2025-06-28_15-23-20.lvc, 5300, 338183,323042,15141,4.4772%,33.19
SOCCER_LCEVC_AVC_SW2-5400_QP24_2025-06-28_15-23-26.lvc, 5400, 338183,323042,15141,4.4772%,33.19
SOCCER_LCEVC_AVC_SW2-5500_QP24_2025-06-28_15-23-33.lvc, 5500, 338172,323042,15130,4.4741%,33.19
SOCCER_LCEVC_AVC_SW2-5600_QP24_2025-06-28_15-23-40.lvc, 5600, 338172,323042,15130,4.4741%,33.19
SOCCER_LCEVC_AVC_SW2-5700_QP24_2025-06-28_15-23-47.lvc, 5700, 338172,323042,15130,4.4741%,33.19
SOCCER_LCEVC_AVC_SW2-5800_QP24_2025-06-28_15-23-54.lvc, 5800, 338172,323042,15130,4.4741%,33.19
SOCCER_LCEVC_AVC_SW2-5900_QP24_2025-06-28_15-24-01.lvc, 5900, 338172,323042,15130,4.4741%,33.19
SOCCER_LCEVC_AVC_SW2-6000_QP24_2025-06-28_15-24-08.lvc, 6000, 338172,323042,15130,4.4741%,33.19
SOCCER_LCEVC_AVC_SW2-6100_QP24_2025-06-28_15-24-15.lvc, 6100, 338172,323042,15130,4.4741%,33.19
SOCCER_LCEVC_AVC_SW2-6200_QP24_2025-06-28_15-24-22.lvc, 6200, 338172,323042,15130,4.4741%,33.19
SOCCER_LCEVC_AVC_SW2-6300_QP24_2025-06-28_15-24-29.lvc, 6300, 338172,323042,15130,4.4741%,33.19
SOCCER_LCEVC_AVC_SW2-6400_QP24_2025-06-28_15-24-36.lvc, 6400, 338172,323042,15130,4.4741%,33.19
SOCCER_LCEVC_AVC_SW2-6500_QP24_2025-06-28_15-24-43.lvc, 6500, 338172,323042,15130,4.4741%,33.19
SOCCER_LCEVC_AVC_SW2-6600_QP24_2025-06-28_15-24-50.lvc, 6600, 3133899,323042,2810857,89.6920%,8.91
SOCCER_LCEVC_AVC_SW2-6700_QP24_2025-06-28_15-24-58.lvc, 6700, 3630400,323042,3307358,91.1018%,9.04
SOCCER_LCEVC_AVC_SW2-6800_QP24_2025-06-28_15-25-05.lvc, 6800, 3622568,323042,3299526,91.0825%,9.07
SOCCER_LCEVC_AVC_SW2-6900_QP24_2025-06-28_15-25-13.lvc, 6900, 3596712,323042,3273670,91.0184%,9.08
SOCCER_LCEVC_AVC_SW2-7000_QP24_2025-06-28_15-25-21.lvc, 7000, 3764205,323042,3441163,91.4181%,8.94
SOCCER_LCEVC_AVC_SW2-7100_QP24_2025-06-28_15-25-29.lvc, 7100, 3761162,323042,3438120,91.4111%,8.93
SOCCER_LCEVC_AVC_SW2-7200_QP24_2025-06-28_15-25-37.lvc, 7200, 3875482,323042,3552440,91.6645%,9.13
SOCCER_LCEVC_AVC_SW2-7300_QP24_2025-06-28_15-25-44.lvc, 7300, 1135614,323042,812572,71.5535%,11.66
SOCCER_LCEVC_AVC_SW2-7400_QP24_2025-06-28_15-25-52.lvc, 7400, 1113627,323042,790585,70.9919%,11.63
SOCCER_LCEVC_AVC_SW2-7500_QP24_2025-06-28_15-25-59.lvc, 7500, 1061943,323042,738901,69.5801%,11.43
SOCCER_LCEVC_AVC_SW2-7600_QP24_2025-06-28_15-26-06.lvc, 7600, 1052936,323042,729894,69.3199%,11.23
SOCCER_LCEVC_AVC_SW2-7700_QP24_2025-06-28_15-26-13.lvc, 7700, 688320,323042,365278,53.0680%,8.32
SOCCER_LCEVC_AVC_SW2-7800_QP24_2025-06-28_15-26-20.lvc, 7800, 781467,323042,458425,58.6621%,8.73
SOCCER_LCEVC_AVC_SW2-7900_QP24_2025-06-28_15-26-27.lvc, 7900, 806666,323042,483624,59.9534%,8.74
SOCCER_LCEVC_AVC_SW2-8000_QP24_2025-06-28_15-26-34.lvc, 8000, 801464,323042,478422,59.6935%,8.74
SOCCER_LCEVC_AVC_SW2-8100_QP24_2025-06-28_15-26-41.lvc, 8100, 801677,323042,478635,59.7042%,8.74
SOCCER_LCEVC_AVC_SW2-8200_QP24_2025-06-28_15-26-49.lvc, 8200, 926851,323042,603809,65.1463%,9.07
SOCCER_LCEVC_AVC_SW2-8300_QP24_2025-06-28_15-26-56.lvc, 8300, 830122,323042,507080,61.0850%,9.00
SOCCER_LCEVC_AVC_SW2-8400_QP24_2025-06-28_15-27-03.lvc, 8400, 803727,323042,480685,59.8070%,9.00
SOCCER_LCEVC_AVC_SW2-8500_QP24_2025-06-28_15-27-10.lvc, 8500, 819211,323042,496169,60.5667%,9.03
SOCCER_LCEVC_AVC_SW2-8600_QP24_2025-06-28_15-27-17.lvc, 8600, 813434,323042,490392,60.2866%,8.71
SOCCER_LCEVC_AVC_SW2-8700_QP24_2025-06-28_15-27-24.lvc, 8700, 813092,323042,490050,60.2699%,8.71
SOCCER_LCEVC_AVC_SW2-8800_QP24_2025-06-28_15-27-31.lvc, 8800, 2950335,323042,2627293,89.0507%,9.24
SOCCER_LCEVC_AVC_SW2-8900_QP24_2025-06-28_15-27-39.lvc, 8900, 480461,323042,157419,32.7642%,17.76
SOCCER_LCEVC_AVC_SW2-9000_QP24_2025-06-28_15-27-46.lvc, 9000, 338172,323042,15130,4.4741%,33.19
SOCCER_LCEVC_AVC_SW2-9100_QP24_2025-06-28_15-27-53.lvc, 9100, 349046,323042,26004,7.4500%,10.42
SOCCER_LCEVC_AVC_SW2-9200_QP24_2025-06-28_15-28-00.lvc, 9200, 700590,323042,377548,53.8900%,9.25
SOCCER_LCEVC_AVC_SW2-9300_QP24_2025-06-28_15-28-07.lvc, 9300, 349803,323042,26761,7.6503%,33.19
SOCCER_LCEVC_AVC_SW2-9400_QP24_2025-06-28_15-28-14.lvc, 9400, 349659,323042,26617,7.6123%,33.19
SOCCER_LCEVC_AVC_SW2-9500_QP24_2025-06-28_15-28-21.lvc, 9500, 361823,323042,38781,10.7182%,10.06
SOCCER_LCEVC_AVC_SW2-9600_QP24_2025-06-28_15-28-28.lvc, 9600, 361823,323042,38781,10.7182%,10.06
SOCCER_LCEVC_AVC_SW2-9700_QP24_2025-06-28_15-28-34.lvc, 9700, 706091,323042,383049,54.2492%,8.89
SOCCER_LCEVC_AVC_SW2-9800_QP24_2025-06-28_15-28-42.lvc, 9800, 702928,323042,379886,54.0434%,8.90
SOCCER_LCEVC_AVC_SW2-9900_QP24_2025-06-28_15-28-49.lvc, 9900, 1019465,323042,696423,68.3126%,11.54
