file,sw2,qp,lvc_size,base_size,enhance_size,enhancement_ratio,psnr_avg,bitrate_kbps
SOCCER_AVC-Only_QP22.264,264,22,1166927,0,0,0%,42.07,933.54
SOCCER_LCEVC_AVC_SW2-1750_QP32_2025-07-11_12-16-02.lvc,1750,32,1170017,105732,1064285,90.9632%,36.38,936.01
SOCCER_LCEVC_AVC_SW2-1250_QP27_2025-07-11_12-16-02.lvc,1250,27,2512174,211837,2300337,91.5676%,39.36,2009.74
SOCCER_LCEVC_AVC_SW2-2250_QP37_2025-07-11_12-16-04.lvc,2250,37,663109,57386,605723,91.3459%,33.86,530.49
SOCCER_LCEVC_AVC_SW2-1750_QP30_2025-07-11_12-16-04.lvc,1750,30,1115277,138891,976386,87.5465%,36.60,892.22
SOCCER_LCEVC_AVC_SW2-2250_QP35_2025-07-11_12-16-06.lvc,2250,35,619425,72363,547062,88.3177%,34.17,495.54
SOCCER_LCEVC_AVC_SW2-2250_QP32_2025-07-11_12-16-08.lvc,2250,32,564819,105732,459087,81.2804%,34.47,451.86
SOCCER_LCEVC_AVC_SW2-1750_QP27_2025-07-11_12-16-08.lvc,1750,27,1043992,211837,832155,79.7089%,36.88,835.19
SOCCER_LCEVC_AVC_SW2-2750_QP37_2025-07-11_12-16-09.lvc,2750,37,359719,57386,302333,84.0470%,32.32,287.78
SOCCER_LCEVC_AVC_SW2-2250_QP30_2025-07-11_12-16-10.lvc,2250,30,535427,138891,396536,74.0598%,34.64,428.34
SOCCER_LCEVC_AVC_SW2-2750_QP35_2025-07-11_12-16-12.lvc,2750,35,329513,72363,257150,78.0394%,32.62,263.61
SOCCER_LCEVC_AVC_SW2-2750_QP32_2025-07-11_12-16-14.lvc,2750,32,294960,105732,189228,64.1538%,33.01,235.97
SOCCER_LCEVC_AVC_SW2-1250_QP25_2025-07-11_12-16-12.lvc,1250,25,2921962,279747,2642215,90.4261%,40.17,2337.57
SOCCER_LCEVC_AVC_SW2-2250_QP27_2025-07-11_12-16-14.lvc,2250,27,512324,211837,300487,58.6518%,35.08,409.86
SOCCER_LCEVC_AVC_SW2-3250_QP37_2025-07-11_12-16-15.lvc,3250,37,203328,57386,145942,71.7766%,30.87,162.66
SOCCER_LCEVC_AVC_SW2-2750_QP30_2025-07-11_12-16-16.lvc,2750,30,285138,138891,146247,51.2899%,33.37,228.11
SOCCER_LCEVC_AVC_SW2-3250_QP35_2025-07-11_12-16-18.lvc,3250,35,185958,72363,113595,61.0864%,31.40,148.77
SOCCER_LCEVC_AVC_SW2-3250_QP32_2025-07-11_12-16-19.lvc,3250,32,176272,105732,70540,40.0177%,32.13,141.02
SOCCER_LCEVC_AVC_SW2-2750_QP27_2025-07-11_12-16-20.lvc,2750,27,307997,211837,96160,31.2211%,33.97,246.40
SOCCER_LCEVC_AVC_SW2-3250_QP30_2025-07-11_12-16-21.lvc,3250,30,187630,138891,48739,25.9761%,32.64,150.10
SOCCER_LCEVC_AVC_SW2-1750_QP25_2025-07-11_12-16-20.lvc,1750,25,1211389,279747,931642,76.9069%,37.23,969.11
SOCCER_LCEVC_AVC_SW2-3250_QP27_2025-07-11_12-16-26.lvc,3250,27,243247,211837,31410,12.9128%,33.39,194.60
SOCCER_LCEVC_AVC_SW2-2250_QP25_2025-07-11_12-16-27.lvc,2250,25,581888,279747,302141,51.9243%,35.38,465.51
SOCCER_LCEVC_AVC_SW2-2750_QP25_2025-07-11_12-16-34.lvc,2750,25,372023,279747,92276,24.8038%,34.37,297.62
SOCCER_LCEVC_AVC_SW2-3250_QP25_2025-07-11_12-16-42.lvc,3250,25,314361,279747,34614,11.0109%,33.80,251.49
