file, sw2, lvc_size, base_size, enhance_size, enhancement_ratio,psnr_avg
SOCCER_LCEVC_AVC_SW2-4600_QP22_2025-06-28_14-33-11.lvc, 4600, 440256,424992,15264,3.4671%,33.56
SOCCER_LCEVC_AVC_SW2-4700_QP22_2025-06-28_14-33-18.lvc, 4700, 440229,424992,15237,3.4612%,33.55
SOCCER_LCEVC_AVC_SW2-4800_QP22_2025-06-28_14-33-26.lvc, 4800, 440206,424992,15214,3.4561%,33.51
SOCCER_LCEVC_AVC_SW2-4900_QP22_2025-06-28_14-33-33.lvc, 4900, 440164,424992,15172,3.4469%,33.51
SOCCER_LCEVC_AVC_SW2-5000_QP22_2025-06-28_14-33-40.lvc, 5000, 440144,424992,15152,3.4425%,33.49
SOCCER_LCEVC_AVC_SW2-5100_QP22_2025-06-28_14-33-47.lvc, 5100, 440133,424992,15141,3.4401%,33.49
SOCCER_LCEVC_AVC_SW2-5200_QP22_2025-06-28_14-33-54.lvc, 5200, 440133,424992,15141,3.4401%,33.49
SOCCER_LCEVC_AVC_SW2-5300_QP22_2025-06-28_14-34-01.lvc, 5300, 440133,424992,15141,3.4401%,33.49
SOCCER_LCEVC_AVC_SW2-5400_QP22_2025-06-28_14-34-08.lvc, 5400, 440133,424992,15141,3.4401%,33.49
SOCCER_LCEVC_AVC_SW2-5500_QP22_2025-06-28_14-34-15.lvc, 5500, 440122,424992,15130,3.4377%,33.49
SOCCER_LCEVC_AVC_SW2-5600_QP22_2025-06-28_14-34-22.lvc, 5600, 440122,424992,15130,3.4377%,33.49
SOCCER_LCEVC_AVC_SW2-5700_QP22_2025-06-28_14-34-29.lvc, 5700, 440122,424992,15130,3.4377%,33.49
SOCCER_LCEVC_AVC_SW2-5800_QP22_2025-06-28_14-34-36.lvc, 5800, 440122,424992,15130,3.4377%,33.49
SOCCER_LCEVC_AVC_SW2-5900_QP22_2025-06-28_14-34-43.lvc, 5900, 440122,424992,15130,3.4377%,33.49
SOCCER_LCEVC_AVC_SW2-6000_QP22_2025-06-28_14-34-50.lvc, 6000, 440122,424992,15130,3.4377%,33.49
SOCCER_LCEVC_AVC_SW2-6100_QP22_2025-06-28_14-34-57.lvc, 6100, 440122,424992,15130,3.4377%,33.49
SOCCER_LCEVC_AVC_SW2-6200_QP22_2025-06-28_14-35-04.lvc, 6200, 440122,424992,15130,3.4377%,33.49
SOCCER_LCEVC_AVC_SW2-6300_QP22_2025-06-28_14-35-11.lvc, 6300, 440122,424992,15130,3.4377%,33.49
SOCCER_LCEVC_AVC_SW2-6400_QP22_2025-06-28_14-35-18.lvc, 6400, 440122,424992,15130,3.4377%,33.49
SOCCER_LCEVC_AVC_SW2-6500_QP22_2025-06-28_14-35-25.lvc, 6500, 440122,424992,15130,3.4377%,33.49
SOCCER_LCEVC_AVC_SW2-6600_QP22_2025-06-28_14-35-32.lvc, 6600, 3230053,424992,2805061,86.8426%,8.95
SOCCER_LCEVC_AVC_SW2-6700_QP22_2025-06-28_14-35-40.lvc, 6700, 3731257,424992,3306265,88.6100%,8.94
SOCCER_LCEVC_AVC_SW2-6800_QP22_2025-06-28_14-35-48.lvc, 6800, 3723071,424992,3298079,88.5849%,8.92
