file,sw2,qp,lvc_size,base_size,enhance_size,enhancement_ratio,bitrate_kbps,psnr_y,psnr_u,psnr_v,psnr_avg
vc-globo-05-600frames-420p_LCEVC_AVC_SW2-1750_QP35_2025-09-29_09-57-10.lvc,1750,35,61724783,1830531,59894252,97.0344%,49379.83,38.08,36.98,41.60,38.28
vc-globo-05-600frames-420p_LCEVC_AVC_SW2-2250_QP25_2025-09-29_09-55-26.lvc,2250,25,14000474,7846741,6153733,43.9537%,11200.38,38.20,40.54,44.21,39.14
vc-globo-05-600frames-420p_LCEVC_AVC_SW2-3250_QP27_2025-09-29_10-08-48.lvc,3250,27,6063666,5859854,203812,3.3612%,4850.93,37.08,39.60,43.63,38.06
vc-globo-05-600frames-420p_LCEVC_AVC_SW2-2750_QP30_2025-09-29_10-11-15.lvc,2750,30,7431022,3811943,3619079,48.7023%,5944.82,35.86,38.62,43.03,36.90
vc-globo-05-600frames-420p_LCEVC_AVC_SW2-2250_QP22_2025-09-29_10-08-27.lvc,2250,22,15184631,12292502,2892129,19.0464%,12147.70,39.36,41.78,45.14,40.30
vc-globo-05-600frames-420p_LCEVC_AVC_SW2-2250_QP32_2025-09-29_10-12-19.lvc,2250,32,22788688,2826168,19962520,87.5984%,18230.95,36.42,37.88,42.42,37.24
vc-globo-05-600frames-420p_LCEVC_AVC_SW2-2250_QP35_2025-09-29_10-12-46.lvc,2250,35,29469593,1830531,27639062,93.7884%,23575.67,36.05,36.98,41.60,36.76
vc-globo-05-600frames-420p_LCEVC_AVC_SW2-2250_QP37_2025-09-29_10-12-47.lvc,2250,37,33973969,1372904,32601065,95.9590%,27179.18,35.86,36.56,41.27,36.53
vc-globo-05-600frames-420p_LCEVC_AVC_SW2-2750_QP25_2025-09-29_10-14-39.lvc,2750,25,8753323,7846741,906582,10.3570%,7002.66,38.01,40.43,44.18,38.97
vc-globo-05-600frames-420p_LCEVC_AVC_SW2-3250_QP30_2025-09-29_10-25-51.lvc,3250,30,4401086,3811943,589143,13.3863%,3520.87,35.66,38.62,43.03,36.73
vc-globo-05-600frames-420p_LCEVC_AVC_SW2-2750_QP32_2025-09-29_10-27-39.lvc,2750,32,8730431,2826168,5904263,67.6285%,6984.34,35.14,37.88,42.42,36.18
vc-globo-05-600frames-420p_LCEVC_AVC_SW2-2750_QP35_2025-09-29_10-28-52.lvc,2750,35,12310911,1830531,10480380,85.1308%,9848.73,34.40,36.98,41.60,35.43
vc-globo-05-600frames-420p_LCEVC_AVC_SW2-2750_QP37_2025-09-29_10-28-52.lvc,2750,37,15386603,1372904,14013699,91.0773%,12309.28,34.08,36.56,41.27,35.09
vc-globo-05-600frames-420p_LCEVC_AVC_SW2-2750_QP22_2025-09-29_10-26-38.lvc,2750,22,12727650,12292502,435148,3.4189%,10182.12,39.28,41.77,45.14,40.22
vc-globo-05-600frames-420p_LCEVC_AVC_SW2-3250_QP25_2025-09-29_10-32-41.lvc,3250,25,7974434,7846741,127693,1.6013%,6379.55,37.99,40.43,44.18,38.95
vc-globo-05-600frames-420p_LCEVC_AVC_SW2-3250_QP32_2025-09-29_10-42-22.lvc,3250,32,3982122,2826168,1155954,29.0286%,3185.70,34.68,37.88,42.42,35.79
vc-globo-05-600frames-420p_LCEVC_AVC_SW2-3250_QP35_2025-09-29_10-43-55.lvc,3250,35,4487369,1830531,2656838,59.2070%,3589.90,33.42,36.98,41.60,34.58
vc-globo-05-600frames-420p_LCEVC_AVC_SW2-3250_QP37_2025-09-29_10-44-01.lvc,3250,37,5569435,1372904,4196531,75.3493%,4455.55,32.78,36.56,41.27,33.98
vc-globo-05-600frames-420p_LCEVC_AVC_SW2-3250_QP22_2025-09-29_10-45-17.lvc,3250,22,12388043,12292502,95541,0.7712%,9910.43,39.25,41.77,45.14,40.20
