file,sw2,qp,lvc_size,base_size,enhance_size,enhancement_ratio,bitrate_kbps,psnr_y,psnr_u,psnr_v,psnr_avg
RaceNight_LCEVC_AVC_SW2-2750_QP35_2025-09-20_23-39-33.lvc,2750,35,7008749,3466802,3541947,50.5361%,4672.50,34.66,40.86,40.65,35.92,
RaceNight_LCEVC_AVC_SW2-2750_QP30_2025-09-20_23-43-20.lvc,2750,30,7282593,6265555,1017038,13.9653%,4855.06,35.39,42.04,41.87,36.70,
RaceNight_LCEVC_AVC_SW2-2750_QP37_2025-09-20_23-43-20.lvc,2750,37,7655255,2788682,4866573,63.5717%,5103.50,34.40,40.59,40.35,35.66,
RaceNight_LCEVC_AVC_SW2-3250_QP27_2025-09-20_23-44-59.lvc,3250,27,9193327,9144940,48387,0.5263%,6128.88,35.75,42.67,42.40,37.08,
RaceNight_LCEVC_AVC_SW2-3250_QP32_2025-09-20_23-53-21.lvc,3250,32,5367067,4865137,501930,9.3520%,3578.04,34.99,41.53,41.30,36.29,
RaceNight_LCEVC_AVC_SW2-2750_QP25_2025-09-21_00-01-45.lvc,2750,25,12141558,11826956,314602,2.5911%,8094.37,35.96,43.16,42.79,37.31,
RaceNight_LCEVC_AVC_SW2-3250_QP35_2025-09-21_00-08-28.lvc,3250,35,4623636,3466802,1156834,25.0200%,3082.42,34.35,40.86,40.65,35.64,
RaceNight_LCEVC_AVC_SW2-2750_QP22_2025-09-21_00-01-45.lvc,2750,22,18012851,17889361,123490,0.6856%,12008.57,36.24,43.89,43.32,37.62,
RaceNight_LCEVC_AVC_SW2-3250_QP30_2025-09-21_00-12-22.lvc,3250,30,6487031,6265555,221476,3.4141%,4324.69,35.34,42.04,41.87,36.65,
RaceNight_LCEVC_AVC_SW2-3250_QP37_2025-09-21_00-12-30.lvc,3250,37,4583354,2788682,1794672,39.1563%,3055.57,33.94,40.59,40.35,35.25,
RaceNight_LCEVC_AVC_SW2-3250_QP25_2025-09-21_00-36-20.lvc,3250,25,11881002,11826956,54046,0.4549%,7920.67,35.95,43.16,42.79,37.30,
RaceNight_LCEVC_AVC_SW2-3250_QP22_2025-09-21_00-37-56.lvc,3250,22,17933922,17889361,44561,0.2485%,11955.95,36.23,43.89,43.32,37.61,
RaceNight_AVC-Only_QP35.264,264,35,9222878,0,0,0%,6148.59,35.52,40.97,40.23,36.65
RaceNight_AVC-Only_QP30.264,264,30,15924974,0,0,0%,10616.65,36.22,42.90,42.25,37.51
RaceNight_AVC-Only_QP37.264,264,37,7698640,0,0,0%,5132.43,35.15,40.91,39.68,36.29
RaceNight_AVC-Only_QP32.264,264,32,12543214,0,0,0%,8362.14,35.97,42.27,41.64,37.22
RaceNight_AVC-Only_QP27.264,264,27,23710337,0,0,0%,15806.89,36.55,43.68,43.08,37.88
RaceNight_AVC-Only_QP25.264,264,25,39653619,0,0,0%,26435.75,37.18,44.15,43.58,38.50
RaceNight_AVC-Only_QP22.264,264,22,108604126,0,0,0%,72402.75,39.91,44.82,44.18,40.97
