file,sw2,qp,lvc_size,base_size,enhance_size,enhancement_ratio,bitrate_kbps,psnr_y,psnr_u,psnr_v,psnr_avg
vc-philips-03-600frames-420p_LCEVC_VVC_SW2-1250_QP25_2025-10-06_00-25-27.lvc,1250,25,2794320,1822796,971524,34.7678%,2235.46,44.25,51.21,52.17,45.64
vc-philips-03-600frames-420p_LCEVC_VVC_SW2-1750_QP25_2025-10-06_00-45-56.lvc,1750,25,2709409,1822796,886613,32.7235%,2167.53,44.23,51.21,52.17,45.62
vc-philips-03-600frames-420p_LCEVC_VVC_SW2-2250_QP25_2025-10-06_01-02-54.lvc,2250,25,2633825,1822796,811029,30.7928%,2107.06,44.23,51.21,52.17,45.61
vc-philips-03-600frames-420p_LCEVC_VVC_SW2-2750_QP25_2025-10-06_01-19-36.lvc,2750,25,2097803,1822796,275007,13.1093%,1678.24,44.22,51.21,52.17,45.61
vc-philips-03-600frames-420p_VVC-Only_QP35.bin,265,35,1666719,0,0,0%,1333.38,42.62,50.65,51.63,44.08
vc-philips-03-600frames-420p_LCEVC_VVC_SW2-3250_QP25_2025-10-06_01-35-28.lvc,3250,25,1849399,1822796,26603,1.4385%,1479.52,44.22,51.21,52.17,45.60
vc-philips-03-600frames-420p_LCEVC_VVC_SW2-250_QP22_2025-10-06_02-56-53.lvc,250,22,70223973,2969981,67253992,95.7707%,56179.18,48.48,52.01,52.70,49.43
vc-philips-03-600frames-420p_LCEVC_VVC_SW2-750_QP22_2025-10-06_03-14-53.lvc,750,22,4361694,2969981,1391713,31.9076%,3489.36,45.49,51.67,52.50,46.80
vc-philips-03-600frames-420p_LCEVC_VVC_SW2-1250_QP22_2025-10-06_03-32-06.lvc,1250,22,3413519,2969981,443538,12.9936%,2730.82,45.36,51.67,52.50,46.68
vc-philips-03-600frames-420p_LCEVC_VVC_SW2-1750_QP22_2025-10-06_03-48-42.lvc,1750,22,3401309,2969981,431328,12.6812%,2721.05,45.35,51.67,52.50,46.67
vc-philips-03-600frames-420p_LCEVC_VVC_SW2-2250_QP22_2025-10-06_04-04-53.lvc,2250,22,3365816,2969981,395835,11.7604%,2692.65,45.35,51.67,52.50,46.67
vc-philips-03-600frames-420p_VVC-Only_QP32.bin,265,32,2413651,0,0,0%,1930.92,44.03,50.99,52.01,45.41
vc-philips-03-600frames-420p_LCEVC_VVC_SW2-2750_QP22_2025-10-06_04-20-53.lvc,2750,22,3073198,2969981,103217,3.3586%,2458.56,45.35,51.67,52.50,46.67
vc-philips-03-600frames-420p_LCEVC_VVC_SW2-3250_QP22_2025-10-06_04-36-47.lvc,3250,22,2991516,2969981,21535,0.7199%,2393.21,45.35,51.67,52.50,46.67
vc-philips-03-600frames-420p_VVC-Only_QP30.bin,265,30,3108649,0,0,0%,2486.92,44.87,51.22,52.16,46.20
vc-philips-03-600frames-420p_VVC-Only_QP27.bin,265,27,4603956,0,0,0%,3683.16,46.09,51.71,52.51,47.34
vc-philips-03-600frames-420p_VVC-Only_QP25.bin,265,25,6165683,0,0,0%,4932.55,46.89,51.97,52.72,48.07
vc-philips-03-600frames-420p_VVC-Only_QP22.bin,265,22,9598047,0,0,0%,7678.44,48.02,52.26,52.97,49.08
