file,sw2,qp,lvc_size,base_size,enhance_size,enhancement_ratio,bitrate_kbps,psnr_y,psnr_u,psnr_v,psnr_avg
vc-lcevc-01-600frames-420p_LCEVC_AVC_SW2-2250_QP27_2025-09-29_09-16-11.lvc,2250,27,7185408,2147749,5037659,70.1096%,5748.33,39.70,42.64,46.02,40.73
vc-lcevc-01-600frames-420p_LCEVC_AVC_SW2-2750_QP32_2025-09-29_09-28-21.lvc,2750,32,3802958,1124022,2678936,70.4435%,3042.37,37.39,40.51,44.16,38.45
vc-lcevc-01-600frames-420p_LCEVC_AVC_SW2-2750_QP35_2025-09-29_09-28-28.lvc,2750,35,4569296,750531,3818765,83.5745%,3655.44,37.02,39.61,43.52,38.01
vc-lcevc-01-600frames-420p_LCEVC_AVC_SW2-1750_QP22_2025-09-29_09-25-01.lvc,1750,22,16130909,4306953,11823956,73.3000%,12904.73,42.39,46.30,48.72,43.51
vc-lcevc-01-600frames-420p_LCEVC_AVC_SW2-2750_QP30_2025-09-29_09-30-11.lvc,2750,30,3471734,1459643,2012091,57.9564%,2777.39,37.78,41.33,44.89,38.90
vc-lcevc-01-600frames-420p_LCEVC_AVC_SW2-2750_QP27_2025-09-29_09-31-59.lvc,2750,27,3465499,2147749,1317750,38.0248%,2772.40,38.52,42.64,46.02,39.71
vc-lcevc-01-600frames-420p_LCEVC_AVC_SW2-2750_QP37_2025-09-29_09-32-11.lvc,2750,37,5213070,574113,4638957,88.9870%,4170.46,36.79,39.14,43.15,37.74
vc-lcevc-01-600frames-420p_LCEVC_AVC_SW2-2250_QP25_2025-09-29_09-29-35.lvc,2250,25,6827370,2797334,4030036,59.0276%,5461.90,40.16,44.44,47.06,41.34
vc-lcevc-01-600frames-420p_LCEVC_AVC_SW2-3250_QP32_2025-09-29_09-44-50.lvc,3250,32,1813658,1124022,689636,38.0246%,1450.93,36.24,40.51,44.16,37.45
vc-lcevc-01-600frames-420p_LCEVC_AVC_SW2-3250_QP35_2025-09-29_09-45-36.lvc,3250,35,1812765,750531,1062234,58.5974%,1450.21,35.64,39.61,43.52,36.83
vc-lcevc-01-600frames-420p_LCEVC_AVC_SW2-3250_QP30_2025-09-29_09-47-16.lvc,3250,30,2006145,1459643,546502,27.2414%,1604.92,36.77,41.33,44.89,38.02
vc-lcevc-01-600frames-420p_LCEVC_AVC_SW2-2250_QP22_2025-09-29_09-46-22.lvc,2250,22,7195038,4306953,2888085,40.1400%,5756.03,41.06,45.59,48.32,42.27
vc-lcevc-01-600frames-420p_LCEVC_AVC_SW2-3250_QP27_2025-09-29_09-50-49.lvc,3250,27,2607764,2147749,460015,17.6402%,2086.21,37.60,42.64,46.02,38.89
vc-lcevc-01-600frames-420p_LCEVC_AVC_SW2-3250_QP37_2025-09-29_09-51-08.lvc,3250,37,1942957,574113,1368844,70.4516%,1554.37,35.32,39.14,43.15,36.49
vc-lcevc-01-600frames-420p_LCEVC_AVC_SW2-2750_QP25_2025-09-29_09-51-21.lvc,2750,25,3954498,2797334,1157164,29.2620%,3163.60,39.08,43.98,46.85,40.34
vc-lcevc-01-600frames-420p_LCEVC_AVC_SW2-2750_QP22_2025-09-29_10-07-21.lvc,2750,22,5302793,4306953,995840,18.7795%,4242.23,39.95,45.25,48.20,41.25
vc-lcevc-01-600frames-420p_LCEVC_AVC_SW2-3250_QP25_2025-09-29_10-11-15.lvc,3250,25,3242930,2797334,445596,13.7405%,2594.34,38.15,43.76,46.79,39.48
vc-lcevc-01-600frames-420p_LCEVC_AVC_SW2-3250_QP22_2025-09-29_10-24-36.lvc,3250,22,4740960,4306953,434007,9.1544%,3792.77,38.88,45.04,48.18,40.27
