file,sw2,qp,lvc_size,base_size,enhance_size,enhancement_ratio,bitrate_kbps,psnr_y,psnr_u,psnr_v,psnr_avg
vc-lcevc-01-600frames-420p_LCEVC_VVC_SW2-2750_QP27_2025-09-30_05-35-08.lvc,2750,27,2205919,1814768,391151,17.7319%,1764.74,38.28,44.58,48.10,39.69
vc-lcevc-01-600frames-420p_LCEVC_VVC_SW2-3250_QP27_2025-09-30_05-55-02.lvc,3250,27,1933770,1814768,119002,6.1539%,1547.02,36.95,44.58,48.10,38.45
vc-lcevc-01-600frames-420p_LCEVC_VVC_SW2-250_QP25_2025-09-30_06-01-31.lvc,250,25,90614263,2326247,88288016,97.4328%,72491.41,46.60,49.19,50.89,47.46
vc-lcevc-01-600frames-420p_LCEVC_VVC_SW2-750_QP25_2025-09-30_06-23-07.lvc,750,25,61826749,2326247,59500502,96.2375%,49461.40,45.54,48.55,50.28,46.48
vc-lcevc-01-600frames-420p_LCEVC_VVC_SW2-1250_QP25_2025-09-30_06-43-48.lvc,1250,25,22319553,2326247,19993306,89.5775%,17855.64,43.32,47.19,49.20,44.41
vc-lcevc-01-600frames-420p_VVC-Only_QP37.bin,265,37,2055844,0,0,0%,1644.68,39.20,43.86,46.45,40.42
vc-lcevc-01-600frames-420p_LCEVC_VVC_SW2-1750_QP25_2025-09-30_07-04-52.lvc,1750,25,6856955,2326247,4530708,66.0746%,5485.56,41.46,46.21,48.67,42.69
vc-lcevc-01-600frames-420p_LCEVC_VVC_SW2-2250_QP25_2025-09-30_07-22-45.lvc,2250,25,3541096,2326247,1214849,34.3071%,2832.88,40.00,45.70,48.52,41.33
vc-lcevc-01-600frames-420p_LCEVC_VVC_SW2-2750_QP25_2025-09-30_07-40-37.lvc,2750,25,2737177,2326247,410930,15.0129%,2189.74,38.60,45.33,48.48,40.03
vc-lcevc-01-600frames-420p_LCEVC_VVC_SW2-3250_QP25_2025-09-30_07-58-53.lvc,3250,25,2449322,2326247,123075,5.0249%,1959.46,37.20,45.13,48.45,38.71
vc-lcevc-01-600frames-420p_LCEVC_VVC_SW2-250_QP22_2025-09-30_08-35-15.lvc,250,22,85958023,3288421,82669602,96.1744%,68766.42,46.77,49.40,51.08,47.63
vc-lcevc-01-600frames-420p_VVC-Only_QP35.bin,265,35,2646546,0,0,0%,2117.24,40.20,44.49,47.31,41.39
vc-lcevc-01-600frames-420p_LCEVC_VVC_SW2-750_QP22_2025-09-30_08-57-38.lvc,750,22,57781472,3288421,54493051,94.3089%,46225.18,45.72,48.78,50.47,46.67
vc-lcevc-01-600frames-420p_LCEVC_VVC_SW2-1250_QP22_2025-09-30_09-15-37.lvc,1250,22,20343798,3288421,17055377,83.8358%,16275.04,43.61,47.58,49.55,44.71
vc-lcevc-01-600frames-420p_LCEVC_VVC_SW2-1750_QP22_2025-09-30_09-33-28.lvc,1750,22,7260596,3288421,3972175,54.7087%,5808.48,41.96,46.89,49.22,43.20
vc-lcevc-01-600frames-420p_LCEVC_VVC_SW2-2250_QP22_2025-09-30_09-51-26.lvc,2250,22,4438677,3288421,1150256,25.9144%,3550.94,40.44,46.43,49.15,41.80
vc-lcevc-01-600frames-420p_LCEVC_VVC_SW2-2750_QP22_2025-09-30_10-09-18.lvc,2750,22,3672635,3288421,384214,10.4615%,2938.11,38.92,46.02,49.11,40.38
vc-lcevc-01-600frames-420p_LCEVC_VVC_SW2-3250_QP22_2025-09-30_10-27-12.lvc,3250,22,3410555,3288421,122134,3.5811%,2728.44,37.45,45.80,49.07,38.98
vc-lcevc-01-600frames-420p_VVC-Only_QP32.bin,265,32,3787954,0,0,0%,3030.36,41.74,45.71,48.26,42.87
vc-lcevc-01-600frames-420p_VVC-Only_QP30.bin,265,30,4796840,0,0,0%,3837.47,42.62,46.36,48.77,43.71
vc-lcevc-01-600frames-420p_VVC-Only_QP27.bin,265,27,6719453,0,0,0%,5375.56,43.87,47.40,49.53,44.92
vc-lcevc-01-600frames-420p_VVC-Only_QP25.bin,265,25,8679967,0,0,0%,6943.97,44.70,48.04,49.94,45.70
vc-lcevc-01-600frames-420p_VVC-Only_QP22.bin,265,22,13173614,0,0,0%,10538.89,45.84,48.98,50.60,46.79
