file,sw2,qp,lvc_size,base_size,enhance_size,enhancement_ratio,bitrate_kbps,psnr_y,psnr_u,psnr_v,psnr_avg
vc-philips-03-600frames-420p_LCEVC_AVC_SW2-250_QP25_2025-09-29_15-02-48.lvc,250,25,104629899,2179104,102450795,97.9173%,83703.92,47.50,51.45,52.14,48.52
vc-philips-03-600frames-420p_LCEVC_AVC_SW2-250_QP27_2025-09-29_15-10-04.lvc,250,27,110050190,1601791,108448399,98.5445%,88040.15,47.19,49.97,50.87,48.02
vc-philips-03-600frames-420p_LCEVC_AVC_SW2-250_QP22_2025-09-29_15-04-23.lvc,250,22,92475552,3582027,88893525,96.1265%,73980.44,47.95,51.78,52.41,48.94
vc-philips-03-600frames-420p_LCEVC_AVC_SW2-250_QP30_2025-09-29_15-19-15.lvc,250,30,121703400,1015462,120687938,99.1656%,97362.72,46.78,49.35,50.08,47.55
vc-philips-03-600frames-420p_LCEVC_AVC_SW2-750_QP27_2025-09-29_15-37-20.lvc,750,27,10453719,1601791,8851928,84.6773%,8362.98,42.76,49.97,50.87,44.16
vc-philips-03-600frames-420p_AVC-Only_QP37.264,264,37,1158468,0,0,0%,926.77,39.53,45.13,44.03,40.66
vc-philips-03-600frames-420p_LCEVC_AVC_SW2-750_QP30_2025-09-29_15-40-10.lvc,750,30,13976436,1015462,12960974,92.7345%,11181.15,42.12,49.35,50.08,43.51
vc-philips-03-600frames-420p_LCEVC_AVC_SW2-750_QP25_2025-09-29_15-36-24.lvc,750,25,8523994,2179104,6344890,74.4356%,6819.20,43.40,50.70,51.66,44.81
vc-philips-03-600frames-420p_AVC-Only_QP35.264,264,35,1531340,0,0,0%,1225.07,40.49,46.23,44.73,41.61
vc-philips-03-600frames-420p_AVC-Only_QP32.264,264,32,2374676,0,0,0%,1899.74,42.03,47.64,46.90,43.18
vc-philips-03-600frames-420p_LCEVC_AVC_SW2-750_QP22_2025-09-29_15-37-20.lvc,750,22,6743674,3582027,3161647,46.8832%,5394.94,44.52,51.24,52.10,45.88
vc-philips-03-600frames-420p_LCEVC_AVC_SW2-250_QP32_2025-09-29_15-42-23.lvc,250,32,128416511,751355,127665156,99.4149%,102733.21,46.48,48.34,49.08,47.10
vc-philips-03-600frames-420p_LCEVC_AVC_SW2-250_QP35_2025-09-29_15-42-25.lvc,250,35,136117738,486336,135631402,99.6427%,108894.19,46.05,47.77,47.27,46.48
vc-philips-03-600frames-420p_LCEVC_AVC_SW2-250_QP37_2025-09-29_15-42-25.lvc,250,37,139707856,370566,139337290,99.7348%,111766.28,44.87,47.14,46.88,45.47
vc-philips-03-600frames-420p_AVC-Only_QP30.264,264,30,3236645,0,0,0%,2589.32,43.32,48.65,48.17,44.45
vc-philips-03-600frames-420p_AVC-Only_QP27.264,264,27,5111191,0,0,0%,4088.95,45.08,49.99,50.21,46.21
vc-philips-03-600frames-420p_LCEVC_AVC_SW2-1250_QP27_2025-09-29_16-00-05.lvc,1250,27,4313429,1601791,2711638,62.8650%,3450.74,41.89,49.97,50.87,43.36
vc-philips-03-600frames-420p_AVC-Only_QP22.264,264,22,11414901,0,0,0%,9131.92,48.05,51.61,52.38,49.01
vc-philips-03-600frames-420p_LCEVC_AVC_SW2-1250_QP30_2025-09-29_16-09-32.lvc,1250,30,5428154,1015462,4412692,81.2927%,4342.52,40.66,49.35,50.08,42.15
vc-philips-03-600frames-420p_LCEVC_AVC_SW2-1250_QP25_2025-09-29_16-09-33.lvc,1250,25,4086802,2179104,1907698,46.6795%,3269.44,42.92,50.69,51.66,44.36
vc-philips-03-600frames-420p_LCEVC_AVC_SW2-1250_QP22_2025-09-29_16-12-12.lvc,1250,22,4577126,3582027,995099,21.7407%,3661.70,44.39,51.24,52.10,45.76
vc-philips-03-600frames-420p_LCEVC_AVC_SW2-750_QP35_2025-09-29_16-16-19.lvc,750,35,19994328,486336,19507992,97.5676%,15995.46,41.37,47.77,47.27,42.63
vc-philips-03-600frames-420p_LCEVC_AVC_SW2-750_QP32_2025-09-29_16-16-19.lvc,750,32,16568214,751355,15816859,95.4651%,13254.57,41.75,48.34,49.08,43.09
vc-philips-03-600frames-420p_LCEVC_AVC_SW2-750_QP37_2025-09-29_16-16-20.lvc,750,37,21924649,370566,21554083,98.3098%,17539.72,40.84,47.14,46.88,42.11
vc-philips-03-600frames-420p_LCEVC_AVC_SW2-1750_QP27_2025-09-29_16-22-03.lvc,1750,27,3881504,1601791,2279713,58.7327%,3105.20,41.87,49.97,50.87,43.33
vc-philips-03-600frames-420p_LCEVC_AVC_SW2-1750_QP30_2025-09-29_16-25-58.lvc,1750,30,4327840,1015462,3312378,76.5365%,3462.27,40.51,49.35,50.08,42.01
vc-philips-03-600frames-420p_LCEVC_AVC_SW2-1750_QP25_2025-09-29_16-29-04.lvc,1750,25,3903933,2179104,1724829,44.1818%,3123.15,42.92,50.69,51.66,44.36
vc-philips-03-600frames-420p_LCEVC_AVC_SW2-1250_QP35_2025-09-29_16-35-31.lvc,1250,35,8286729,486336,7800393,94.1311%,6629.38,39.19,47.77,47.27,40.65
vc-philips-03-600frames-420p_LCEVC_AVC_SW2-1250_QP32_2025-09-29_16-35-57.lvc,1250,32,6570403,751355,5819048,88.5646%,5256.32,39.90,48.34,49.08,41.38
vc-philips-03-600frames-420p_LCEVC_AVC_SW2-1250_QP37_2025-09-29_16-36-14.lvc,1250,37,9329728,370566,8959162,96.0281%,7463.78,38.69,47.14,46.88,40.14
vc-philips-03-600frames-420p_LCEVC_AVC_SW2-1750_QP22_2025-09-29_16-34-26.lvc,1750,22,4560151,3582027,978124,21.4494%,3648.12,44.39,51.24,52.10,45.76
vc-philips-03-600frames-420p_LCEVC_AVC_SW2-2250_QP27_2025-09-29_16-41-45.lvc,2250,27,3693112,1601791,2091321,56.6276%,2954.49,41.86,49.97,50.87,43.33
vc-philips-03-600frames-420p_LCEVC_AVC_SW2-2250_QP30_2025-09-29_16-42-26.lvc,2250,30,4018983,1015462,3003521,74.7334%,3215.19,40.49,49.35,50.08,42.00
vc-philips-03-600frames-420p_LCEVC_AVC_SW2-2250_QP25_2025-09-29_16-44-52.lvc,2250,25,3776337,2179104,1597233,42.2958%,3021.07,42.91,50.69,51.66,44.36
vc-philips-03-600frames-420p_LCEVC_AVC_SW2-1750_QP35_2025-09-29_16-50-05.lvc,1750,35,5987707,486336,5501371,91.8778%,4790.17,38.57,47.77,47.27,40.07
vc-philips-03-600frames-420p_LCEVC_AVC_SW2-1750_QP32_2025-09-29_16-51-52.lvc,1750,32,4928518,751355,4177163,84.7550%,3942.81,39.58,48.34,49.08,41.08
vc-philips-03-600frames-420p_LCEVC_AVC_SW2-1750_QP37_2025-09-29_16-52-45.lvc,1750,37,6697309,370566,6326743,94.4669%,5357.85,37.93,47.14,46.88,39.43
vc-philips-03-600frames-420p_LCEVC_AVC_SW2-2250_QP22_2025-09-29_16-54-36.lvc,2250,22,4491052,3582027,909025,20.2408%,3592.84,44.39,51.24,52.10,45.76
vc-philips-03-600frames-420p_LCEVC_AVC_SW2-2750_QP27_2025-09-29_17-00-16.lvc,2750,27,2713372,1601791,1111581,40.9668%,2170.70,41.80,49.97,50.87,43.27
vc-philips-03-600frames-420p_LCEVC_AVC_SW2-2750_QP30_2025-09-29_17-00-50.lvc,2750,30,2825356,1015462,1809894,64.0590%,2260.28,40.40,49.35,50.08,41.91
vc-philips-03-600frames-420p_LCEVC_AVC_SW2-2250_QP35_2025-09-29_17-03-49.lvc,2250,35,6081293,486336,5594957,92.0028%,4865.03,38.51,47.77,47.27,40.00
vc-philips-03-600frames-420p_LCEVC_AVC_SW2-2250_QP32_2025-09-29_17-05-33.lvc,2250,32,4630779,751355,3879424,83.7748%,3704.62,39.55,48.34,49.08,41.05
vc-philips-03-600frames-420p_LCEVC_AVC_SW2-2750_QP25_2025-09-29_17-03-09.lvc,2750,25,2900348,2179104,721244,24.8675%,2320.28,42.88,50.68,51.66,44.33
vc-philips-03-600frames-420p_LCEVC_AVC_SW2-2250_QP37_2025-09-29_17-06-29.lvc,2250,37,7149274,370566,6778708,94.8167%,5719.42,37.84,47.14,46.88,39.35
vc-philips-03-600frames-420p_LCEVC_AVC_SW2-3250_QP27_2025-09-29_17-15-36.lvc,3250,27,1756780,1601791,154989,8.8223%,1405.42,41.76,49.97,50.87,43.23
vc-philips-03-600frames-420p_LCEVC_AVC_SW2-3250_QP30_2025-09-29_17-16-10.lvc,3250,30,1444934,1015462,429472,29.7226%,1155.95,40.29,49.35,50.08,41.81
vc-philips-03-600frames-420p_LCEVC_AVC_SW2-2750_QP22_2025-09-29_17-13-24.lvc,2750,22,3881169,3582027,299142,7.7075%,3104.94,44.38,51.23,52.10,45.75
vc-philips-03-600frames-420p_LCEVC_AVC_SW2-2750_QP35_2025-09-29_17-19-11.lvc,2750,35,3782696,486336,3296360,87.1431%,3026.16,38.32,47.77,47.27,39.82
vc-philips-03-600frames-420p_LCEVC_AVC_SW2-2750_QP32_2025-09-29_17-20-23.lvc,2750,32,3118038,751355,2366683,75.9030%,2494.43,39.43,48.34,49.08,40.94
vc-philips-03-600frames-420p_LCEVC_AVC_SW2-2750_QP37_2025-09-29_17-21-23.lvc,2750,37,4313039,370566,3942473,91.4082%,3450.43,37.59,47.14,46.88,39.11
vc-philips-03-600frames-420p_LCEVC_AVC_SW2-3250_QP25_2025-09-29_17-21-05.lvc,3250,25,2240888,2179104,61784,2.7571%,1792.71,42.87,50.68,51.66,44.32
vc-philips-03-600frames-420p_LCEVC_AVC_SW2-3250_QP35_2025-09-29_17-32-01.lvc,3250,35,1649649,486336,1163313,70.5188%,1319.72,38.02,47.77,47.27,39.55
