file,sw2,qp,lvc_size,base_size,enhance_size,enhancement_ratio,bitrate_kbps,psnr_y,psnr_u,psnr_v,psnr_avg
vc-philips-01-600frames-420p_LCEVC_VVC_SW2-250_QP37_2025-10-05_19-19-38.lvc,250,37,59623231,346897,59276334,99.4182%,47698.58,48.57,50.33,49.57,48.98
vc-philips-01-600frames-420p_LCEVC_VVC_SW2-750_QP37_2025-10-05_19-41-04.lvc,750,37,13093095,346897,12746198,97.3505%,10474.48,47.95,50.33,49.57,48.52
vc-philips-01-600frames-420p_LCEVC_VVC_SW2-1250_QP37_2025-10-05_19-59-49.lvc,1250,37,4496979,346897,4150082,92.2860%,3597.58,47.57,50.33,49.57,48.23
vc-philips-01-600frames-420p_LCEVC_VVC_SW2-1750_QP37_2025-10-05_20-17-36.lvc,1750,37,2535554,346897,2188657,86.3187%,2028.44,47.46,50.33,49.57,48.14
vc-philips-01-600frames-420p_LCEVC_VVC_SW2-2250_QP37_2025-10-05_20-32-15.lvc,2250,37,2398856,346897,2051959,85.5391%,1919.08,47.40,50.33,49.57,48.09
vc-philips-01-600frames-420p_LCEVC_VVC_SW2-2750_QP37_2025-10-05_20-50-18.lvc,2750,37,1595011,346897,1248114,78.2511%,1276.01,47.34,50.33,49.57,48.04
vc-philips-01-600frames-420p_LCEVC_VVC_SW2-250_QP35_2025-10-05_20-49-52.lvc,250,35,56855712,509253,56346459,99.1043%,45484.57,49.61,49.63,49.24,49.55
vc-philips-01-600frames-420p_LCEVC_VVC_SW2-750_QP35_2025-10-05_21-07-09.lvc,750,35,11580658,509253,11071405,95.6026%,9264.53,48.94,49.63,49.24,49.10
vc-philips-01-600frames-420p_LCEVC_VVC_SW2-3250_QP37_2025-10-05_21-07-08.lvc,3250,37,741984,346897,395087,53.2474%,593.59,47.15,50.33,49.57,47.90
vc-philips-01-600frames-420p_LCEVC_VVC_SW2-1250_QP35_2025-10-05_21-23-31.lvc,1250,35,3847210,509253,3337957,86.7631%,3077.77,48.58,49.63,49.24,48.84
vc-philips-01-600frames-420p_LCEVC_VVC_SW2-1750_QP35_2025-10-05_21-36-59.lvc,1750,35,2241650,509253,1732397,77.2822%,1793.32,48.45,49.63,49.24,48.75
vc-philips-01-600frames-420p_LCEVC_VVC_SW2-2250_QP35_2025-10-05_21-50-06.lvc,2250,35,2111984,509253,1602731,75.8875%,1689.59,48.38,49.63,49.24,48.70
vc-philips-01-600frames-420p_LCEVC_VVC_SW2-2750_QP35_2025-10-05_22-04-25.lvc,2750,35,1453208,509253,943955,64.9566%,1162.57,48.32,49.63,49.24,48.66
vc-philips-01-600frames-420p_LCEVC_VVC_SW2-3250_QP35_2025-10-05_22-18-23.lvc,3250,35,788124,509253,278871,35.3842%,630.50,48.12,49.63,49.24,48.51
vc-philips-01-600frames-420p_LCEVC_VVC_SW2-250_QP32_2025-10-05_23-33-26.lvc,250,32,53139441,863042,52276399,98.3759%,42511.55,50.91,50.05,50.33,50.66
vc-philips-01-600frames-420p_LCEVC_VVC_SW2-750_QP32_2025-10-05_23-48-22.lvc,750,32,9519355,863042,8656313,90.9338%,7615.48,50.29,50.05,50.33,50.25
vc-philips-01-600frames-420p_LCEVC_VVC_SW2-1250_QP32_2025-10-06_00-01-12.lvc,1250,32,3134085,863042,2271043,72.4627%,2507.27,49.97,50.05,50.33,50.04
vc-philips-01-600frames-420p_LCEVC_VVC_SW2-1750_QP32_2025-10-06_00-15-52.lvc,1750,32,2031029,863042,1167987,57.5072%,1624.82,49.85,50.05,50.33,49.96
vc-philips-01-600frames-420p_LCEVC_VVC_SW2-2250_QP32_2025-10-06_00-29-05.lvc,2250,32,1926224,863042,1063182,55.1951%,1540.98,49.78,50.05,50.33,49.91
vc-philips-01-600frames-420p_LCEVC_VVC_SW2-2750_QP32_2025-10-06_00-45-40.lvc,2750,32,1460181,863042,597139,40.8949%,1168.14,49.70,50.05,50.33,49.86
