file,sw2,qp,lvc_size,base_size,enhance_size,enhancement_ratio,bitrate_kbps,psnr_y,psnr_u,psnr_v,psnr_avg
Bosphorus-4k_LCEVC_AVC_SW2-2250_QP35_2025-10-02_06-39-38.lvc,2250,35,4968718,1153443,3815275,76.7859%,3974.97,37.50,42.10,41.78,38.54
Bosphorus-4k_LCEVC_AVC_SW2-2250_QP30_2025-10-02_06-42-40.lvc,2250,30,4240844,2384668,1856176,43.7690%,3392.68,39.36,43.40,43.23,40.32
Bosphorus-4k_LCEVC_AVC_SW2-2250_QP32_2025-10-02_06-42-38.lvc,2250,32,4342311,1768681,2573630,59.2687%,3473.85,38.63,42.88,42.55,39.62
Bosphorus-4k_LCEVC_AVC_SW2-3250_QP25_2025-10-02_06-46-08.lvc,3250,25,5177160,5138918,38242,0.7387%,4141.73,41.22,44.67,44.37,42.07
Bosphorus-4k_LCEVC_AVC_SW2-2750_QP37_2025-10-02_06-50-17.lvc,2750,37,3151681,869582,2282099,72.4089%,2521.34,36.31,41.66,41.33,37.46
Bosphorus-4k_LCEVC_AVC_SW2-2750_QP35_2025-10-02_06-54-13.lvc,2750,35,2843815,1153443,1690372,59.4403%,2275.05,37.12,42.10,41.78,38.21
Bosphorus-4k_LCEVC_AVC_SW2-3250_QP22_2025-10-02_06-51-03.lvc,3250,22,8800450,8770175,30275,0.3440%,7040.36,42.23,45.60,45.20,43.05
Bosphorus-4k_LCEVC_AVC_SW2-2750_QP32_2025-10-02_06-57-47.lvc,2750,32,2721048,1768681,952367,35.0000%,2176.84,38.38,42.88,42.55,39.41
Bosphorus-4k_LCEVC_AVC_SW2-2750_QP30_2025-10-02_06-57-51.lvc,2750,30,2980516,2384668,595848,19.9914%,2384.41,39.21,43.40,43.23,40.20
Bosphorus-4k_LCEVC_AVC_SW2-3250_QP37_2025-10-02_07-04-09.lvc,3250,37,1807445,869582,937863,51.8889%,1445.96,36.05,41.66,41.33,37.23
Bosphorus-4k_LCEVC_AVC_SW2-3250_QP35_2025-10-02_07-08-18.lvc,3250,35,1774322,1153443,620879,34.9925%,1419.46,36.95,42.10,41.78,38.07
Bosphorus-4k_LCEVC_AVC_SW2-3250_QP32_2025-10-02_07-12-46.lvc,3250,32,2057618,1768681,288937,14.0423%,1646.09,38.32,42.88,42.55,39.35
Bosphorus-4k_LCEVC_AVC_SW2-3250_QP30_2025-10-02_07-12-46.lvc,3250,30,2535057,2384668,150389,5.9324%,2028.05,39.19,43.40,43.23,40.18
