file,sw2,qp,lvc_size,base_size,enhance_size,enhancement_ratio,bitrate_kbps,psnr_y,psnr_u,psnr_v,psnr_avg
vc-globo-05_LCEVC_AVC_SW2-2250_QP22_2025-09-24_23-01-13.lvc,2250,22,48688100,37894557,10793543,22.1687%,12983.49,38.53,43.58,46.80,40.64,
vc-globo-05_AVC-Only_QP37.264,264,37,1727373430,0,0,0%,460632.91,8.06,6.72,6.70,7.33
vc-globo-05_AVC-Only_QP35.264,264,35,2027459177,0,0,0%,540655.78,7.99,6.69,6.65,7.28
vc-globo-05_LCEVC_AVC_SW2-2750_QP27_2025-09-25_01-54-25.lvc,2750,27,25027795,19406901,5620894,22.4586%,6674.08,36.26,41.13,44.60,38.35,
vc-globo-05_LCEVC_AVC_SW2-2750_QP32_2025-09-25_01-54-25.lvc,2750,32,27427797,9515860,17911937,65.3058%,7314.08,34.57,38.95,43.05,36.60,
vc-globo-05_LCEVC_AVC_SW2-2750_QP37_2025-09-25_01-54-25.lvc,2750,37,44182579,4541911,39640668,89.7201%,11782.02,33.82,37.30,42.02,35.69,
vc-globo-05_LCEVC_AVC_SW2-2750_QP35_2025-09-25_01-54-25.lvc,2750,35,36433906,6102864,30331042,83.2495%,9715.71,34.04,37.88,42.33,35.97,
vc-globo-05_LCEVC_AVC_SW2-2750_QP30_2025-09-25_01-54-25.lvc,2750,30,24362623,12810247,11552376,47.4184%,6496.70,35.15,39.86,43.66,37.23,
vc-globo-05_AVC-Only_QP32.264,264,32,2520852111,0,0,0%,672227.23,8.00,6.61,6.58,7.24
vc-globo-05_AVC-Only_QP30.264,264,30,2955211428,0,0,0%,788056.38,7.99,6.64,6.63,7.26
vc-globo-05_LCEVC_AVC_SW2-2750_QP25_2025-09-25_03-55-05.lvc,2750,25,29173282,25460550,3712732,12.7265%,7779.54,37.07,42.14,45.50,39.19,
vc-globo-05_LCEVC_AVC_SW2-2750_QP22_2025-09-25_04-19-01.lvc,2750,22,39811705,37894557,1917148,4.8155%,10616.45,38.15,43.52,46.76,40.32,
vc-globo-05_AVC-Only_QP27.264,264,27,3691867087,0,0,0%,984497.89,7.97,6.59,6.61,7.23
vc-globo-05_AVC-Only_QP25.264,264,25,4220800194,0,0,0%,1125546.72,7.97,6.57,6.58,7.22
vc-globo-05_LCEVC_AVC_SW2-3250_QP37_2025-09-25_08-21-27.lvc,3250,37,17202016,4541911,12660105,73.5966%,4587.20,32.22,37.30,42.02,34.41,
vc-globo-05_LCEVC_AVC_SW2-3250_QP32_2025-09-25_08-12-40.lvc,3250,32,13408854,9515860,3892994,29.0330%,3575.69,33.76,38.95,43.05,35.94,
vc-globo-05_LCEVC_AVC_SW2-3250_QP27_2025-09-25_08-04-03.lvc,3250,27,20303228,19406901,896327,4.4147%,5414.19,36.05,41.13,44.60,38.18,
vc-globo-05_LCEVC_AVC_SW2-3250_QP35_2025-09-25_08-39-01.lvc,3250,35,14417951,6102864,8315087,57.6718%,3844.79,32.68,37.88,42.33,34.88,
vc-globo-05_LCEVC_AVC_SW2-3250_QP30_2025-09-25_08-44-49.lvc,3250,30,14968164,12810247,2157917,14.4167%,3991.51,34.67,39.86,43.66,36.83,
vc-globo-05_AVC-Only_QP22.264,264,22,5341363641,0,0,0%,1424363.64,7.96,6.55,6.58,7.21
vc-globo-05_LCEVC_AVC_SW2-3250_QP22_2025-09-25_11-34-28.lvc,3250,22,38237889,37894557,343332,0.8979%,10196.77,37.99,43.51,46.76,40.18,
vc-globo-05_LCEVC_AVC_SW2-3250_QP25_2025-09-25_11-16-49.lvc,3250,25,26033196,25460550,572646,2.1997%,6942.19,36.91,42.11,45.48,39.06,
