file,sw2,qp,lvc_size,base_size,enhance_size,enhancement_ratio,bitrate_kbps,psnr_y,psnr_u,psnr_v,psnr_avg
vc-philips-01-600frames-420p_LCEVC_AVC_SW2-1750_QP27_2025-09-29_15-53-34.lvc,1750,27,3552587,2796227,756360,21.2904%,2842.07,50.27,51.20,50.54,50.46
vc-philips-01-600frames-420p_LCEVC_AVC_SW2-1750_QP37_2025-09-29_15-54-04.lvc,1750,37,3403649,548749,2854900,83.8776%,2722.92,44.70,43.31,43.67,44.26
vc-philips-01-600frames-420p_AVC-Only_QP22.264,264,22,15441019,0,0,0%,12352.82,53.46,52.21,51.83,52.92
vc-philips-01-600frames-420p_LCEVC_AVC_SW2-2250_QP35_2025-09-29_16-17-57.lvc,2250,35,2970516,758087,2212429,74.4796%,2376.41,46.50,47.39,44.67,46.26
vc-philips-01-600frames-420p_LCEVC_AVC_SW2-2250_QP32_2025-09-29_16-18-27.lvc,2250,32,2758020,1220781,1537239,55.7371%,2206.42,47.77,48.27,47.44,47.79
vc-philips-01-600frames-420p_LCEVC_AVC_SW2-1750_QP25_2025-09-29_16-15-27.lvc,1750,25,4465567,3881137,584430,13.0875%,3572.45,50.76,51.18,50.57,50.80
vc-philips-01-600frames-420p_LCEVC_AVC_SW2-2250_QP30_2025-09-29_16-20-13.lvc,2250,30,2848506,1701814,1146692,40.2559%,2278.80,49.29,50.59,49.44,49.51
vc-philips-01-600frames-420p_LCEVC_AVC_SW2-2250_QP27_2025-09-29_16-21-16.lvc,2250,27,3491620,2796227,695393,19.9161%,2793.30,50.21,51.20,50.54,50.41
vc-philips-01-600frames-420p_LCEVC_AVC_SW2-2250_QP37_2025-09-29_16-21-26.lvc,2250,37,3249003,548749,2700254,83.1102%,2599.20,44.65,43.31,43.67,44.23
vc-philips-01-600frames-420p_LCEVC_AVC_SW2-1750_QP22_2025-09-29_16-20-05.lvc,1750,22,6542947,6216668,326279,4.9867%,5234.36,51.22,52.63,51.99,51.55
vc-philips-01-600frames-420p_LCEVC_AVC_SW2-2750_QP35_2025-09-29_16-36-47.lvc,2750,35,2118908,758087,1360821,64.2228%,1695.13,46.43,47.39,44.67,46.22
vc-philips-01-600frames-420p_LCEVC_AVC_SW2-2750_QP32_2025-09-29_16-38-16.lvc,2750,32,2133725,1220781,912944,42.7864%,1706.98,47.70,48.27,47.44,47.75
vc-philips-01-600frames-420p_LCEVC_AVC_SW2-2750_QP30_2025-09-29_16-40-30.lvc,2750,30,2360847,1701814,659033,27.9151%,1888.68,49.20,50.59,49.44,49.44
vc-philips-01-600frames-420p_LCEVC_AVC_SW2-2750_QP37_2025-09-29_16-41-22.lvc,2750,37,2256017,548749,1707268,75.6762%,1804.81,44.59,43.31,43.67,44.19
vc-philips-01-600frames-420p_LCEVC_AVC_SW2-2750_QP27_2025-09-29_16-41-16.lvc,2750,27,3165035,2796227,368808,11.6526%,2532.03,50.12,51.20,50.54,50.35
vc-philips-01-600frames-420p_LCEVC_AVC_SW2-2250_QP25_2025-09-29_16-40-07.lvc,2250,25,4424952,3881137,543815,12.2897%,3539.96,50.69,51.17,50.56,50.74
vc-philips-01-600frames-420p_LCEVC_AVC_SW2-2250_QP22_2025-09-29_16-41-44.lvc,2250,22,6526216,6216668,309548,4.7431%,5220.97,51.13,52.62,51.99,51.49
vc-philips-01-600frames-420p_LCEVC_AVC_SW2-3250_QP35_2025-09-29_16-52-36.lvc,3250,35,1196735,758087,438648,36.6537%,957.39,46.23,47.39,44.67,46.09
vc-philips-01-600frames-420p_LCEVC_AVC_SW2-3250_QP32_2025-09-29_16-54-15.lvc,3250,32,1483182,1220781,262401,17.6918%,1186.55,47.48,48.27,47.44,47.60
vc-philips-01-600frames-420p_LCEVC_AVC_SW2-3250_QP30_2025-09-29_16-58-02.lvc,3250,30,1873860,1701814,172046,9.1814%,1499.09,48.96,50.59,49.44,49.28
vc-philips-01-600frames-420p_LCEVC_AVC_SW2-3250_QP37_2025-09-29_16-59-30.lvc,3250,37,1121102,548749,572353,51.0527%,896.88,44.43,43.31,43.67,44.10
vc-philips-01-600frames-420p_LCEVC_AVC_SW2-3250_QP27_2025-09-29_16-59-28.lvc,3250,27,2870901,2796227,74674,2.6011%,2296.72,49.88,51.20,50.54,50.19
vc-philips-01-600frames-420p_LCEVC_AVC_SW2-2750_QP25_2025-09-29_17-00-39.lvc,2750,25,4134514,3881137,253377,6.1283%,3307.61,50.59,51.11,50.54,50.67
vc-philips-01-600frames-420p_LCEVC_AVC_SW2-2750_QP22_2025-09-29_17-01-32.lvc,2750,22,6343302,6216668,126634,1.9963%,5074.64,51.05,52.56,51.96,51.41
vc-philips-01-600frames-420p_LCEVC_AVC_SW2-3250_QP25_2025-09-29_17-16-43.lvc,3250,25,3927325,3881137,46188,1.1761%,3141.86,50.36,50.98,50.48,50.48
vc-philips-01-600frames-420p_LCEVC_AVC_SW2-3250_QP22_2025-09-29_17-19-11.lvc,3250,22,6250659,6216668,33991,0.5438%,5000.53,50.83,52.42,51.90,51.22
