file,sw2,qp,lvc_size,base_size,enhance_size,enhancement_ratio,bitrate_kbps,psnr_y,psnr_u,psnr_v,psnr_avg
Bosphorus-4k_LCEVC_VVC_SW2-750_QP22_2025-10-03_18-44-05.lvc,750,22,24535119,6098274,18436845,75.1447%,19628.10,42.21,46.82,46.09,43.22
Bosphorus-4k_LCEVC_VVC_SW2-1250_QP22_2025-10-03_19-02-35.lvc,1250,22,9830196,6098274,3731922,37.9639%,7864.16,41.75,46.38,45.67,42.76
Bosphorus-4k_LCEVC_VVC_SW2-1750_QP22_2025-10-03_19-21-00.lvc,1750,22,6585210,6098274,486936,7.3944%,5268.17,41.44,46.20,45.50,42.48
Bosphorus-4k_LCEVC_VVC_SW2-2250_QP22_2025-10-03_19-39-19.lvc,2250,22,6150447,6098274,52173,0.8483%,4920.36,41.35,46.19,45.47,42.40
Bosphorus-4k_VVC-Only_QP32.bin,265,32,2931266,0,0,0%,2345.01,39.32,45.59,44.83,40.55
Bosphorus-4k_LCEVC_VVC_SW2-2750_QP22_2025-10-03_19-57-46.lvc,2750,22,6128420,6098274,30146,0.4919%,4902.74,41.34,46.19,45.47,42.39
Bosphorus-4k_LCEVC_VVC_SW2-3250_QP22_2025-10-03_20-16-10.lvc,3250,22,6128364,6098274,30090,0.4910%,4902.69,41.34,46.19,45.47,42.39
Bosphorus-4k_VVC-Only_QP30.bin,265,30,4116056,0,0,0%,3292.84,40.17,45.97,45.13,41.34
Bosphorus-4k_VVC-Only_QP27.bin,265,27,6729296,0,0,0%,5383.44,41.25,46.55,45.71,42.36
Bosphorus-4k_VVC-Only_QP25.bin,265,25,9882949,0,0,0%,7906.36,42.12,46.92,46.00,43.14
Bosphorus-4k_VVC-Only_QP22.bin,265,22,16095821,0,0,0%,12876.66,42.97,47.44,46.47,43.93
