file, sw2, lvc_size, base_size, enhance_size, enhancement_ratio,psnr_avg
SOCCER_LCEVC_VVC_SW2-4_QP22_2025-06-28_14-44-14.lvc, 4, 3986900,316446,3670454,92.0629%,42.55
SOCCER_LCEVC_VVC_SW2-100_QP22_2025-06-28_14-44-23.lvc, 100, 4254756,316446,3938310,92.5625%,42.84
SOCCER_LCEVC_VVC_SW2-200_QP22_2025-06-28_14-44-32.lvc, 200, 4439770,316446,4123324,92.8725%,43.03
SOCCER_LCEVC_VVC_SW2-300_QP22_2025-06-28_14-44-41.lvc, 300, 4470901,316446,4154455,92.9221%,43.09
SOCCER_LCEVC_VVC_SW2-400_QP22_2025-06-28_14-44-50.lvc, 400, 4370441,316446,4053995,92.7594%,42.98
SOCCER_LCEVC_VVC_SW2-500_QP22_2025-06-28_14-44-59.lvc, 500, 4151158,316446,3834712,92.3769%,42.72
SOCCER_LCEVC_VVC_SW2-600_QP22_2025-06-28_14-45-08.lvc, 600, 3871789,316446,3555343,91.8269%,42.46
SOCCER_LCEVC_VVC_SW2-700_QP22_2025-06-28_14-45-17.lvc, 700, 3517551,316446,3201105,91.0038%,41.96
SOCCER_LCEVC_VVC_SW2-800_QP22_2025-06-28_14-45-26.lvc, 800, 3135009,316446,2818563,89.9061%,41.51
SOCCER_LCEVC_VVC_SW2-900_QP22_2025-06-28_14-45-34.lvc, 900, 2751144,316446,2434698,88.4977%,40.84
SOCCER_LCEVC_VVC_SW2-1000_QP22_2025-06-28_14-45-43.lvc, 1000, 2410954,316446,2094508,86.8747%,40.27
SOCCER_LCEVC_VVC_SW2-1100_QP22_2025-06-28_14-45-51.lvc, 1100, 2071671,316446,1755225,84.7251%,39.61
SOCCER_LCEVC_VVC_SW2-1200_QP22_2025-06-28_14-46-00.lvc, 1200, 1560510,316446,1244064,79.7216%,39.05
SOCCER_LCEVC_VVC_SW2-1300_QP22_2025-06-28_14-46-08.lvc, 1300, 1315475,316446,999029,75.9444%,38.51
SOCCER_LCEVC_VVC_SW2-1400_QP22_2025-06-28_14-46-17.lvc, 1400, 1106429,316446,789983,71.3993%,37.94
SOCCER_LCEVC_VVC_SW2-1500_QP22_2025-06-28_14-46-25.lvc, 1500, 927854,316446,611408,65.8948%,37.39
SOCCER_LCEVC_VVC_SW2-1600_QP22_2025-06-28_14-46-33.lvc, 1600, 783993,316446,467547,59.6366%,36.91
SOCCER_LCEVC_VVC_SW2-1700_QP22_2025-06-28_14-46-41.lvc, 1700, 675518,316446,359072,53.1551%,36.44
SOCCER_LCEVC_VVC_SW2-1800_QP22_2025-06-28_14-46-49.lvc, 1800, 582152,316446,265706,45.6420%,36.08
